fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,June,18,MAHARASHTRA,1806,NASHIK,1070532,300.111826376574,29,725,34.16774,14848,72,59394,2352724,30234,11930,1187577,245593,6.7915,7101.762206,79493,139182,211304,591192,795,944651,1867081,74242,7060.802966,1048810,92,25.67,21.98,104.88,NA
2025-2026,June,18,MAHARASHTRA,1809,AHMEDNAGAR,754872,327.253925606889,32,215,31.3431,2648,63,43687,1915258,80180,30761,76700,29810,33.59606,6332.6961505,58686,105952,159686,466257,2162,833828,2044141,46335,6267.7569905,839163,94,56.6,54.1,104.86,NA
2025-2026,June,18,MAHARASHTRA,1818,BEED,3594279,299.01142964097,32,559,74.15193,5223,78,94301,4657540,77376,17268,10268,2095,0,14000.7288701,143685,256093,303887,726452,5832,854841,1642649,99524,13926.5769401,2034135,83,65.73,64.78,106.05,NA
2025-2026,June,18,MAHARASHTRA,1820,Dharashiv,1053761,330.799623588966,25,142,17.3275,1366,70,21637,812702,35762,21180,2592,1185,0,2705.7426569,32172,53251,82309,208648,426,367662,776756,23003,2688.4151569,347425,81,56.35,55.89,100.1,NA
2025-2026,June,18,MAHARASHTRA,1807,DHULE,1030382,307.795763807723,26,325,14.17618,4138,43,32729,1222631,42292,17789,231650,87441,9.84,3787.22260500001,46640,79574,114519,318377,1080,611418,1178445,36867,3763.20642500001,535634,94,60.89,60.16,104.23,NA
2025-2026,June,18,MAHARASHTRA,1809,AHMEDNAGAR,754872,329.270036169621,32,215,31.3431,2591,64,43588,1888325,79339,30744,74716,29795,33.59606,6282.6275705,58305,105248,159541,465815,2068,833675,2043715,46179,6217.6884105,827024,94,56.78,54.32,104.91,NA
2025-2026,June,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,5992456,333.681472765818,31,901,39.09223,2564,31,81166,2475492,62708,27821,35354,13315,79.50852,8378.8589138,77876,143874,248961,662700,2826,739015,1559477,83730,8260.2581638,1108573,95,70.09,66.3,114.66,NA
2025-2026,June,18,MAHARASHTRA,1823,AKOLA,710548,316.734629318308,26,1983,12.05909,7713,8,33804,1346708,140347,38291,49207,11943,30.95929,4308.5089718,51416,80832,104254,238726,982,360241,667916,41517,4265.4905918,554143,94,49.78,50.96,101.75,NA
2025-2026,June,18,MAHARASHTRA,1827,NAGPUR,871083,320.16993179222,25,183,28.752562511,3283,54,19133,662681,72391,32731,77769,32223,15.84381,2166.301678211,26023,38173,102997,235820,283,313555,590390,22416,2121.7053057,298324,84,40.51,41.32,100.15,NA
2025-2026,July,18,MAHARASHTRA,1806,NASHIK,1273285,298.696593297712,30,747,38.26092,15186,71,59558,2426276,31354,11963,1220251,246061,6.7915,7292.256176,80733,141441,211748,592443,872,945273,1868336,74744,7247.203756,1079619,92,26.15,22.49,104.73,NA
2025-2026,July,18,MAHARASHTRA,1807,DHULE,1122762,297.502746471732,27,354,14.17618,4530,41,33160,1360582,47045,17878,257283,88303,9.84,4071.78499800002,49190,84074,115621,321077,1416,611816,1179430,37690,4047.76881800002,596784,94,60.93,60.28,103.94,NA
2025-2026,July,18,MAHARASHTRA,1811,SATARA,396378,315.049228527076,18,179,22.03311,1128,260,20147,479278,14095,10436,1967,974,14.53359,1546.5283415,25972,41127,76792,173787,106,432710,826847,21275,1509.9616415,228176,92,21.77,25.36,105.54,NA
2025-2026,July,18,MAHARASHTRA,1812,SANGLI,259099,307.623049777117,25,52,17.5062,2080,57,12161,398416,13611,7735,1003,251,6.37906,1249.50471,15874,25070,51617,112192,52,333905,588702,14241,1225.61945,164979,92,32.6,29.72,100.19,NA
2025-2026,July,18,MAHARASHTRA,1816,JALNA,2609928,369.779770134895,18,266,33.44147,2775,53,55632,1296195,43444,21257,7292,3356,167.38546,4993.8938215,68624,121539,185620,483110,426,596388,1250291,58407,4793.0668915,573850,87,57.38,56.3,100.75,NA
2025-2026,July,18,MAHARASHTRA,1817,PARBHANI,2262115,338.066947338042,32,320,68.55096,1503,37,42266,2428926,71455,20904,14132,2943,8.0949,8288.0418413,74634,122463,160421,354596,2925,468385,876786,43769,8211.3959813,1021917,92,72.02,67.9,101.83,NA
2025-2026,July,18,MAHARASHTRA,1821,LATUR,2785423,324.315419098698,33,201,30.54565,2528,30,34954,1963893,136636,54623,18202,4532,0.66,6400.4134636,59168,99427,144367,356406,2315,444797,914314,37482,6369.2078136,849555,88,74.35,68.52,100.13,NA
2025-2026,July,18,MAHARASHTRA,1826,WARDHA,835473,351.340996583644,34,235,27.24441,3480,8,13831,840662,53410,16082,61961,15766,22.105,3002.9396587,24143,40746,63195,156007,777,245500,450236,17311,2953.5902487,356975,90,55.27,55.05,101.16,NA
2025-2026,July,18,MAHARASHTRA,1827,NAGPUR,1036708,314.726608088969,26,195,28.752562511,3610,51,19176,735718,80205,32814,87140,32311,15.84381,2360.096679011,27563,40446,103406,236738,374,313813,590857,22786,2315.5003065,330861,84,40.82,41.83,100.13,NA
2025-2026,July,18,MAHARASHTRA,1834,HINGOLI,1246612,319.400755437445,34,115,19.21174,2759,20,25986,1639143,185259,45981,237060,44755,1.284,5255.9308647,47043,80291,101924,259320,1809,295938,651243,28745,5235.4351247,705519,92,80.98,74.12,100.17,NA
2025-2026,July,18,MAHARASHTRA,1802,THANE,214016,304.596062024031,30,77,9.20958,1640,39,14113,440023,10969,4080,179891,44845,10.3281,1359.83041,14488,26149,36220,118617,279,166752,377685,15753,1340.29273,221788,96,23.04,25.49,102.25,NA
2025-2026,July,18,MAHARASHTRA,1818,BEED,4189076,357.827301603158,33,583,74.15193,5860,63,95866,5115656,84546,17316,11543,2101,0,18379.3657541,150677,268186,305316,729222,7207,856197,1644725,101726,18305.2138241,2233099,83,65.27,64.33,109.82,NA
2025-2026,July,18,MAHARASHTRA,1821,LATUR,2785423,351.217323112827,34,201,30.54565,2720,26,35313,2078175,145837,54736,18922,4563,0.66,7330.1162546,60937,102406,144856,357397,2726,445272,915068,38033,7298.9106046,898473,89,73.88,68.02,100.18,NA
2025-2026,July,18,MAHARASHTRA,1823,AKOLA,837716,322.546547922534,28,2198,12.05909,8521,7,33333,1557691,161364,38493,55849,12019,36.86459,5073.2022278,54550,85958,105221,240753,1486,360732,668734,41854,5024.2785478,641227,95,50.48,51.68,101.65,NA
2025-2026,July,18,MAHARASHTRA,1827,NAGPUR,1036708,339.869275689485,27,203,29.629672511,3962,48,19099,793817,86889,32904,94621,32387,18.69333,2746.263090711,28780,42169,103700,237386,472,314029,591218,23061,2697.9400882,356645,84,41.62,42.66,100.61,NA
2025-2026,July,18,MAHARASHTRA,1829,CHANDRAPUR,3056052,295.964429092419,31,579,33.16385,9522,17,29033,2499634,234819,61033,540135,106622,98.571,7529.7623475,79141,136912,173840,496434,1660,408588,961329,38555,7398.0274975,1344517,85,30.57,44.14,100.84,NA
2025-2026,July,18,MAHARASHTRA,1834,HINGOLI,1246612,329.802423689873,35,116,19.21174,2894,16,26064,1689684,190319,46046,243868,44822,2.08609,5593.9166147,47773,81501,102069,259680,1864,296137,651610,28958,5572.6187847,726210,92,80.62,73.54,100.9,NA
2025-2026,July,18,MAHARASHTRA,1802,THANE,214016,306.63980851149,30,76,9.20958,1604,40,13934,424673,10578,4058,173080,44450,10.3281,1321.754154,14016,25209,35956,117757,263,166692,377457,15538,1302.216474,214085,96,23.58,26.11,102.3,NA
2025-2026,July,18,MAHARASHTRA,1805,SINDHUDURG,190467,330.061924304078,20,101,5.15016,647,20,15224,241334,4678,2828,643,247,10.06378,811.765584400005,11727,18569,33775,77278,35,134432,250879,15871,796.551644400005,104136,95,47.12,44.09,100.21,NA
2025-2026,July,18,MAHARASHTRA,1810,PUNE,217658,360.212039747836,21,57,14.67154,1831,335,19411,327565,10167,9406,33075,22795,1.7325,1196.332608,15110,25802,58046,154441,49,423751,906807,21242,1179.928568,147148,96,42.12,37.34,101.58,NA
2025-2026,July,18,MAHARASHTRA,1818,BEED,4189076,363.342496707956,33,578,74.15193,5731,64,95118,4984744,82328,17297,11350,2092,0,18185.8452341,148692,264801,304942,728533,6761,855840,1644237,100849,18111.6933041,2175845,83,65.37,64.38,109.66,NA
2025-2026,July,18,MAHARASHTRA,1819,NANDED,2673766,330.001566694707,30,252,54.09851,4311,90,49229,2479762,225674,79970,159197,42036,12.60559,8249.95755030001,81542,137869,200852,523498,2240,814316,1715457,53540,8183.25345030001,1118375,87,72.96,71.21,103.34,NA
2025-2026,July,18,MAHARASHTRA,1805,SINDHUDURG,190467,334.607411736272,20,103,8.6586,661,19,15188,244098,4699,2828,656,247,10.06378,835.492379900004,11821,18721,33777,77287,35,134448,250915,15849,816.769999900004,105369,95,46.99,43.97,100.21,NA
2025-2026,July,18,MAHARASHTRA,1808,JALGAON,993764,312.928013021228,28,257,74.965505,7950,24,47114,2190884,103177,31383,167795,42404,20.1317,6950.9869738,75864,124095,162073,398476,1759,746190,1390431,55064,6855.8897688,948719,95,43.95,43.13,104.99,NA
2025-2026,July,18,MAHARASHTRA,1814,KOLHAPUR,255467,302.907620075434,28,80,17.6981408,1192,194,13038,636579,32193,18999,809,388,0,1945.9444396,22540,38885,59338,146475,479,395590,720167,14230,1928.2462988,299009,95,55.31,50.74,110.05,NA
2025-2026,July,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,6914599,386.405958723885,34,945,39.09223,2981,22,82360,2903907,73295,27949,41304,13450,79.50852,11339.4704338,84299,155511,250391,666073,4214,739730,1561194,85341,11220.8696838,1299601,95,69.54,65.61,114.48,NA
2025-2026,July,18,MAHARASHTRA,1833,GONDIA,4171510,247.878215841282,29,282,56.00622,6415,14,40807,4212058,321400,52261,675961,91265,7.4329,10504.2133406,142150,221753,237905,612640,2008,400552,913706,47222,10440.7742206,2817829,81,22.88,45.55,102.03,NA
2025-2026,July,18,MAHARASHTRA,1835,PALGHAR,1791116,321.277071060903,26,850,89.1648937,8174,25,52417,2151394,6375,2027,1985792,378565,119.09645,7120.19697388,81786,149845,147566,423588,1383,352170,803604,60591,6911.93563018,1168555,90,11.7,21.6,101.88,NA
2025-2026,July,18,MAHARASHTRA,1803,RAIGAD,86727,299.83260605158,20,45,4.84042,1128,221,18283,161148,3409,2799,55740,17803,10.06507,498.079738,7807,12702,31598,72355,43,219904,392050,19411,483.174248,79840,85,27.67,27.29,113.39,NA
2025-2026,July,18,MAHARASHTRA,1806,NASHIK,1273285,303.788165668471,30,760,38.26092,15285,67,59785,2464947,31750,11980,1240732,246411,6.7915,7533.269696,81615,143018,212041,593273,916,945416,1868704,75070,7488.217276,1095383,92,26.35,22.74,105.14,NA
2025-2026,July,18,MAHARASHTRA,1807,DHULE,1122762,325.706961476041,27,355,14.17618,4555,40,33279,1374651,47381,17897,258833,88396,9.84,4501.35018300002,49524,84671,115809,321583,1454,611885,1179643,37834,4477.33400300002,602850,94,61.03,60.37,106.03,NA
2025-2026,July,18,MAHARASHTRA,1808,JALGAON,993764,316.713894851769,28,251,72.197505,7624,25,46810,2115775,99973,31304,160395,42190,20.1317,6793.28261380001,74336,121661,161455,397047,1648,745794,1389496,54434,6700.95340880001,916193,95,44.11,43.25,104.98,NA
2025-2026,July,18,MAHARASHTRA,1810,PUNE,217658,360.212039747836,21,57,14.67154,1837,335,19507,327565,10167,9406,33075,22795,1.7325,1196.332608,15110,25802,58046,154441,49,423671,906641,21344,1179.928568,147148,96,42.11,37.33,101.58,NA
2025-2026,July,18,MAHARASHTRA,1811,SATARA,396378,337.826716695768,18,183,22.03311,1200,247,20190,493113,14306,10441,2043,974,14.53359,1702.4341575,26499,41908,76974,174198,112,432809,827071,21390,1665.8674575,234930,92,21.97,25.5,105.49,NA
2025-2026,July,18,MAHARASHTRA,1812,SANGLI,259099,306.695328864942,25,52,17.5062,2102,57,12167,406261,13811,7734,1003,251,6.37906,1269.86877,15980,25240,51662,112310,53,333967,588814,14269,1245.98351,168269,92,32.79,29.94,100.18,NA
2025-2026,July,18,MAHARASHTRA,1817,PARBHANI,2262115,346.271033722364,32,323,68.55096,1545,37,42282,2467413,72736,20914,14165,2943,8.0949,8620.5823613,75012,123135,160431,354623,3052,468351,876618,43827,8543.9365013,1038548,92,72,67.89,102.11,NA
2025-2026,July,18,MAHARASHTRA,1825,YAVATMAL,3107742,319.604933780949,29,652,40.87766,17023,19,52035,3579559,159675,41625,400367,83856,26.1034,11507.4282316,120065,183432,259168,579671,1898,730961,1479561,69058,11440.4471716,1587570,95,50.46,67.26,100.11,NA
2025-2026,July,18,MAHARASHTRA,1828,BHANDARA,3587949,209.500347995257,31,4205,67.7448,4879,12,17641,3179210,358289,58116,228757,32276,28.42683,6756.6276435,101695,165371,185396,445138,3154,314411,669935,22520,6660.4560135,1960598,80,21.85,40.1,101.39,NA
